ISO28178
FILE_DESCRIPTOR	"FOGRA55"
ORIGINATOR	"Fogra, www.fogra.org, developed with GMG GmbH & Co. KG"
CREATED	"May 2021"
TARGET_TYPE	"7C-ECG"
INSTRUMENTATION	"D50. 2 degree. geometry 45/0. no polarisation filter. white backing. according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"7C CMYKOGV reference data-set"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT. D50; OBSERVER. 2 degree"
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"
LGOROWLENGTH	"0"
LGOMCCHANNEL01	"InkName = 'Cyan' LabFullToneColor = '62 -44 -50'"
LGOMCCHANNEL02	"InkName = 'Magenta' LabFullToneColor = '52 81 -7'"
LGOMCCHANNEL03	"InkName = 'Yellow' LabFullToneColor = '95 -6 95'"
LGOMCCHANNEL04	"InkName = 'Black' LabFullToneColor = '12 2 0'"
LGOMCCHANNEL05	"InkName = 'Orange' LabFullToneColor = '65 58 88'"
LGOMCCHANNEL06	"InkName = 'Green' LabFullToneColor = '60 -75 0'"
LGOMCCHANNEL07	"InkName = 'Violet' LabFullToneColor = '22 47 -56'"
NUMBER_OF_FIELDS 11
BEGIN_DATA_FORMAT
SAMPLE_ID	PC7_1	PC7_2	PC7_3	PC7_4	PC7_5	PC7_6	PC7_7	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 4884
BEGIN_DATA
1	100	0	0	0	0	0	0	56.12	-34.9	-52.52
2	0	0	0	0	0	0	0	95	1.5	-6
3	100	100	0	0	0	0	0	24.74	21.12	-47.45
4	100	0	100	0	0	0	0	49.45	-65.93	24.35
5	0	100	100	0	0	0	0	47.99	69.33	45.87
6	0	0	0	0	0	0	70	45.48	24.05	-35.08
7	0	0	0	0	0	0	40	67.02	12.75	-21.25
8	0	0	0	0	0	0	100	22	47	-56
9	0	0	0	0	0	70	0	69.91	-47	-2.13
10	0	0	0	0	0	40	0	80.47	-24.56	-3.87
11	0	0	0	0	0	100	0	60	-75	0
12	0	0	0	0	70	0	0	70.52	46.43	50.18
13	0	0	0	0	40	0	0	79.8	28.24	22.43
14	0	0	0	0	100	0	0	65	58	88
15	0	0	0	70	0	0	0	46.75	0.02	-3.26
16	0	0	0	40	0	0	0	69.76	0.49	-4.89
17	0	0	0	100	0	0	0	16	0.07	-0.33
18	0	0	70	0	0	0	0	90.44	-4.21	61.28
19	0	0	40	0	0	0	0	92.3	-2.85	30.21
20	0	0	100	0	0	0	0	88.94	-4.04	92.37
21	0	70	0	0	0	0	0	60.42	52.69	-9.17
22	0	40	0	0	0	0	0	75.43	28.45	-9.24
23	0	100	0	0	0	0	0	48.06	75.29	-5.18
24	70	0	0	0	0	0	0	66.57	-24.03	-39.84
25	40	0	0	0	0	0	0	79.15	-12.57	-24.93
26	100	0	0	0	0	0	0	56.12	-34.9	-52.52
27	0	0	0	30	0	0	0	76.38	0.72	-5.26
28	25	18	17	0	0	0	0	76.08	1.01	-5.68
29	0	0	0	50	0	0	0	62.72	0.33	-4.42
30	43	33	32	0	0	0	0	62.19	0.5	-4.48
31	0	0	0	70	0	0	0	46.75	0.02	-3.26
32	64	53	52	0	0	0	0	46.41	-0.45	-3.37
33	100	0	0	0	0	0	0	56.12	-34.9	-52.52
34	100	0	0	0	0	0	0	56.12	-34.9	-52.52
35	0	0	0	0	0	0	0	95	1.5	-6
36	100	100	0	0	0	0	0	24.74	21.12	-47.45
37	100	0	100	0	0	0	0	49.45	-65.93	24.35
38	0	100	100	0	0	0	0	47.99	69.33	45.87
39	0	0	0	0	0	0	70	45.48	24.05	-35.08
40	0	0	0	0	0	0	40	67.02	12.75	-21.25
41	0	0	0	0	0	0	100	22	47	-56
42	0	0	0	0	0	70	0	69.91	-47	-2.13
43	0	0	0	0	0	40	0	80.47	-24.56	-3.87
44	0	0	0	0	0	100	0	60	-75	0
45	0	0	0	0	70	0	0	70.52	46.43	50.18
46	0	0	0	0	40	0	0	79.8	28.24	22.43
47	0	0	0	0	100	0	0	65	58	88
48	0	0	0	70	0	0	0	46.75	0.02	-3.26
49	0	0	0	40	0	0	0	69.76	0.49	-4.89
50	0	0	0	100	0	0	0	16	0.07	-0.33
51	0	0	70	0	0	0	0	90.44	-4.21	61.28
52	0	0	40	0	0	0	0	92.3	-2.85	30.21
53	0	0	100	0	0	0	0	88.94	-4.04	92.37
54	0	70	0	0	0	0	0	60.42	52.69	-9.17
55	0	40	0	0	0	0	0	75.43	28.45	-9.24
56	0	100	0	0	0	0	0	48.06	75.29	-5.18
57	70	0	0	0	0	0	0	66.57	-24.03	-39.84
58	40	0	0	0	0	0	0	79.15	-12.57	-24.93
59	100	0	0	0	0	0	0	56.12	-34.9	-52.52
60	0	0	0	30	0	0	0	76.38	0.72	-5.26
61	25	18	17	0	0	0	0	76.08	1.01	-5.68
62	0	0	0	50	0	0	0	62.72	0.33	-4.42
63	43	33	32	0	0	0	0	62.19	0.5	-4.48
64	0	0	0	70	0	0	0	46.75	0.02	-3.26
65	64	53	52	0	0	0	0	46.41	-0.45	-3.37
66	100	0	0	0	0	0	0	56.12	-34.9	-52.52
67	100	0	0	0	0	0	0	56.12	-34.9	-52.52
68	0	0	0	0	0	0	0	95	1.5	-6
69	100	100	0	0	0	0	0	24.74	21.12	-47.45
70	100	0	100	0	0	0	0	49.45	-65.93	24.35
71	0	100	100	0	0	0	0	47.99	69.33	45.87
72	0	0	0	0	0	0	70	45.48	24.05	-35.08
73	0	0	0	0	0	0	40	67.02	12.75	-21.25
74	0	0	0	0	0	0	100	22	47	-56
75	0	0	0	0	0	70	0	69.91	-47	-2.13
76	0	0	0	0	0	40	0	80.47	-24.56	-3.87
77	0	0	0	0	0	100	0	60	-75	0
78	0	0	0	0	70	0	0	70.52	46.43	50.18
79	0	0	0	0	40	0	0	79.8	28.24	22.43
80	0	0	0	0	100	0	0	65	58	88
81	0	0	0	70	0	0	0	46.75	0.02	-3.26
82	0	0	0	40	0	0	0	69.76	0.49	-4.89
83	0	0	0	100	0	0	0	16	0.07	-0.33
84	0	0	70	0	0	0	0	90.44	-4.21	61.28
85	0	0	40	0	0	0	0	92.3	-2.85	30.21
86	0	0	100	0	0	0	0	88.94	-4.04	92.37
87	0	70	0	0	0	0	0	60.42	52.69	-9.17
88	0	40	0	0	0	0	0	75.43	28.45	-9.24
89	0	100	0	0	0	0	0	48.06	75.29	-5.18
90	70	0	0	0	0	0	0	66.57	-24.03	-39.84
91	40	0	0	0	0	0	0	79.15	-12.57	-24.93
92	100	0	0	0	0	0	0	56.12	-34.9	-52.52
93	0	0	0	30	0	0	0	76.38	0.72	-5.26
94	25	18	17	0	0	0	0	76.08	1.01	-5.68
95	0	0	0	50	0	0	0	62.72	0.33	-4.42
96	43	33	32	0	0	0	0	62.19	0.5	-4.48
97	0	0	0	70	0	0	0	46.75	0.02	-3.26
98	64	53	52	0	0	0	0	46.41	-0.45	-3.37
99	100	0	0	0	0	0	0	56.12	-34.9	-52.52
100	100	0	0	0	0	0	0	56.12	-34.9	-52.52
101	0	0	0	0	0	0	0	95	1.5	-6
102	100	100	0	0	0	0	0	24.74	21.12	-47.45
103	100	0	100	0	0	0	0	49.45	-65.93	24.35
104	0	100	100	0	0	0	0	47.99	69.33	45.87
105	0	0	0	0	0	0	70	45.48	24.05	-35.08
106	0	0	0	0	0	0	40	67.02	12.75	-21.25
107	0	0	0	0	0	0	100	22	47	-56
108	0	0	0	0	0	70	0	69.91	-47	-2.13
109	0	0	0	0	0	40	0	80.47	-24.56	-3.87
110	0	0	0	0	0	100	0	60	-75	0
111	0	0	0	0	70	0	0	70.52	46.43	50.18
112	0	0	0	0	40	0	0	79.8	28.24	22.43
113	0	0	0	0	100	0	0	65	58	88
114	0	0	0	70	0	0	0	46.75	0.02	-3.26
115	0	0	0	40	0	0	0	69.76	0.49	-4.89
116	0	0	0	100	0	0	0	16	0.07	-0.33
117	0	0	70	0	0	0	0	90.44	-4.21	61.28
118	0	0	40	0	0	0	0	92.3	-2.85	30.21
119	0	0	100	0	0	0	0	88.94	-4.04	92.37
120	0	70	0	0	0	0	0	60.42	52.69	-9.17
121	0	40	0	0	0	0	0	75.43	28.45	-9.24
122	0	100	0	0	0	0	0	48.06	75.29	-5.18
123	70	0	0	0	0	0	0	66.57	-24.03	-39.84
124	40	0	0	0	0	0	0	79.15	-12.57	-24.93
125	100	0	0	0	0	0	0	56.12	-34.9	-52.52
126	0	0	0	30	0	0	0	76.38	0.72	-5.26
127	25	18	17	0	0	0	0	76.08	1.01	-5.68
128	0	0	0	50	0	0	0	62.72	0.33	-4.42
129	43	33	32	0	0	0	0	62.19	0.5	-4.48
130	0	0	0	70	0	0	0	46.75	0.02	-3.26
131	64	53	52	0	0	0	0	46.41	-0.45	-3.37
132	100	0	0	0	0	0	0	56.12	-34.9	-52.52
133	40	0	0	0	0	0	0	79.15	-12.57	-24.93
134	0	20	70	0	0	0	0	81.09	9.84	53
135	10	100	100	0	0	0	0	45.06	63.46	40.31
136	70	100	0	80	0	0	0	15.1	13.1	-10.61
137	40	70	0	40	0	0	0	36.62	23.92	-18.55
138	100	85	0	0	0	0	0	28.6	13.42	-48
139	0	0	70	0	0	100	0	59.27	-72.73	39.35
140	0	0	0	0	0	40	40	56.5	-8.09	-17.3
141	40	0	0	80	0	70	0	24.5	-19.63	-4.91
142	100	40	0	0	0	0	100	16.49	31.92	-53.78
143	0	0	100	100	100	0	0	18.1	4.96	15.99
144	40	0	0	40	0	0	40	40.67	2.63	-25.92
145	100	100	0	0	100	0	0	19.89	14.56	6.7
146	0	40	0	80	0	0	40	21.73	12.21	-7.45
147	55	70	70	0	0	0	0	42.01	17.01	9.78
148	100	100	100	40	0	0	0	18.84	-1.48	0.17
149	40	100	0	80	0	0	40	14.34	15.57	-6.97
150	0	100	0	0	0	0	70	26.78	51.18	-18.61
151	100	100	85	0	0	0	0	23.47	0.35	-7.49
152	70	100	0	40	0	0	100	12.6	21.25	-25.02
153	40	100	40	100	0	0	0	12.97	5.05	3.95
154	70	100	100	0	0	0	0	28.8	23.72	9.51
155	40	0	100	100	0	100	0	13.57	-10.6	5.75
156	70	70	0	80	0	0	40	14.8	8.9	-11.7
157	70	0	0	80	0	100	0	20.41	-23.15	-6.47
158	100	0	30	0	0	0	0	53.75	-47.89	-29.55
159	0	70	0	80	0	0	100	11.86	15.27	-8.5
160	0	0	100	40	0	0	0	64.34	-4.61	66.28
161	40	100	70	0	0	0	0	36.92	47.37	10.7
162	100	0	40	40	0	70	0	34.03	-46.76	-6.61
163	70	70	0	80	0	0	0	18.12	7.02	-12.31
164	70	0	40	0	0	40	0	56.56	-49.22	-3.68
165	40	0	0	0	0	0	0	79.15	-12.57	-24.93
166	40	0	0	0	0	0	0	79.15	-12.57	-24.93
167	0	0	0	0	70	70	40	32.47	9.6	15.09
168	0	20	0	40	0	0	40	43.77	15.96	-16.35
169	0	0	40	40	70	40	0	41.5	16.68	37.74
170	20	20	0	20	0	0	0	68.25	5.43	-14.78
171	0	0	0	20	100	0	100	19.31	28.88	15.02
172	40	0	40	40	40	0	0	46.33	5.6	19.56
173	40	0	40	40	40	40	0	41.95	-11.1	19.27
174	0	0	0	80	100	70	40	15.01	5.37	8.57
175	0	0	40	0	100	40	0	51.83	37.08	68.35
176	0	40	0	20	70	0	0	51.87	49.57	39.14
177	20	20	40	80	0	0	0	29.87	-0.34	5.61
178	0	20	20	20	0	0	0	73.12	10.07	6.49
179	100	100	0	100	100	0	0	14.81	1.3	9.75
180	40	0	0	40	40	40	0	39.72	-6.72	1.67
181	0	0	0	80	40	40	0	26.72	0.22	8.27
182	70	0	0	20	0	0	100	17.38	31.8	-52.47
183	40	40	40	0	40	40	0	46.54	4.96	19.15
184	20	0	0	40	0	70	0	47.81	-37.13	-5.97
185	40	0	0	0	100	100	0	25.03	-4.07	21.43
186	0	0	40	0	40	70	0	55.01	-16.33	31.98
187	0	100	0	20	0	0	70	23.36	43.96	-16.37
188	0	40	40	40	0	40	0	44.5	-1.41	11.16
189	40	40	40	0	0	40	40	39.51	0.47	-7.58
190	0	40	0	40	100	0	70	22.74	31.02	20.81
191	100	70	20	40	0	0	0	24.95	-2.44	-27.51
192	40	20	20	40	0	0	0	51.6	-4.11	-7.49
193	40	0	20	0	0	100	0	53.35	-72.02	0.11
194	20	100	100	40	0	0	0	30.81	40.6	23.75
195	0	0	40	0	100	0	40	47.72	47.1	61.71
196	0	0	70	40	70	100	0	28.94	-11.89	28.19
197	20	0	40	0	0	100	0	56.16	-73.92	16.13
198	40	0	0	0	0	0	0	79.15	-12.57	-24.93
199	40	0	0	0	0	0	0	79.15	-12.57	-24.93
200	0	40	0	0	100	40	40	31.6	36.48	33.74
201	40	70	70	0	0	40	0	38.63	7.52	12.1
202	70	40	0	0	70	0	70	19.56	20.07	-6.11
203	0	0	40	0	0	0	70	44.6	17.27	-8.25
204	0	70	70	0	70	0	70	30.02	46.16	29.61
205	70	70	100	60	0	0	0	22.81	0.83	10.96
206	0	0	100	0	0	70	100	20.35	1.35	6.83
207	100	0	40	40	70	0	0	25.14	-9.88	7.09
208	0	0	40	0	0	40	70	37.57	1.34	-7.02
209	40	40	100	0	100	0	0	44.13	43.11	57.2
210	0	70	70	0	0	40	70	24.88	24.96	4.58
211	70	40	100	0	40	0	0	39.84	4.7	32.8
212	0	70	0	0	0	70	100	14.77	21.36	-26
213	0	0	40	40	0	100	40	30.35	-32.46	5.11
214	70	100	40	0	0	0	40	22.4	27.84	-20.49
215	70	0	40	0	40	40	0	44.09	-23.02	7.75
216	70	0	40	40	40	0	0	37.63	-7.21	6.82
217	70	0	70	0	100	0	0	39	20.27	44.6
218	40	100	40	0	0	70	0	24.03	16.98	-10.9
219	100	40	70	0	0	40	0	36.62	-43.51	-1.26
220	0	70	40	0	70	0	40	38.56	53.5	35.83
221	70	40	70	0	0	70	0	38.73	-40.11	8.21
222	0	100	0	0	0	100	70	13.99	13.47	-19.93
223	70	40	70	60	0	0	0	28.76	-9.97	6.18
224	70	0	100	100	0	0	0	13.6	-6.95	3.85
225	100	100	40	0	0	40	0	21.99	0.16	-24.16
226	0	100	70	60	0	0	0	27.29	37.44	16.11
227	40	100	70	0	0	0	40	27.79	39.58	2.82
228	0	40	40	0	70	70	0	37.81	18.06	32.58
229	100	40	70	0	0	0	40	28.44	-16.93	-11.92
230	70	70	40	0	100	0	0	29.3	31.33	27.75
231	40	0	0	0	0	0	0	79.15	-12.57	-24.93
232	40	0	0	0	0	0	0	79.15	-12.57	-24.93
233	100	40	100	60	0	0	0	23.44	-22.34	6.91
234	0	0	40	80	100	0	40	20.86	16.67	18.78
235	0	0	100	0	100	40	100	21.63	25.96	21.48
236	0	0	100	0	100	40	40	39.16	30.44	48.95
237	0	70	0	0	40	100	40	19.25	2.04	-6.07
238	0	70	40	0	40	100	0	26.15	-4.6	8.88
239	40	0	100	0	70	70	0	39.65	-5.06	42.51
240	40	100	0	0	40	70	0	22.35	21.57	-6.91
241	0	40	100	0	0	70	40	36.3	-8.91	28.56
242	0	0	70	80	0	40	100	12.11	7.42	-0.28
243	0	40	0	0	40	70	100	14.85	17.63	-13.91
244	0	70	40	0	0	100	40	23.07	-8.78	-5.41
245	100	0	70	0	0	70	40	32.05	-41.77	-2.61
246	0	40	0	80	0	70	40	16.52	0.07	-5.06
247	0	0	40	80	0	40	70	16.21	3.41	-2.19
248	40	0	0	0	40	70	100	15.22	12.18	-21.63
249	100	0	100	0	0	40	100	17.37	-5.77	-9.33
250	100	0	40	0	0	40	70	25.14	-10.41	-27.9
251	100	70	0	0	70	40	0	20.35	0.77	-6.08
252	100	0	70	80	40	0	0	18.92	-11.09	6.14
253	70	0	0	80	70	0	40	15.94	4.25	3.26
254	40	0	100	40	0	40	100	15.78	3.33	2.67
255	40	0	40	80	0	0	70	15.96	6.01	-6.6
256	40	0	70	80	0	0	70	15.81	4.21	0.29
257	40	40	100	40	100	0	40	26.21	30.77	28.38
258	40	0	40	40	100	40	40	24.21	14.11	24.95
259	100	0	70	0	40	0	70	20.65	-3.25	-6.54
260	40	0	100	40	0	40	40	34	-15.49	26.3
261	100	0	40	80	70	0	0	17.67	-5.52	7.61
262	0	40	40	40	0	100	100	12.88	6.16	-7.45
263	0	40	40	80	0	70	0	21.25	-8.84	4.86
264	40	0	0	0	0	0	0	79.15	-12.57	-24.93
265	70	0	0	0	0	0	0	66.57	-24.03	-39.84
266	100	0	85	0	0	0	0	50.04	-63.68	14.36
267	20	30	20	0	0	0	0	72.36	10.44	-2.33
268	20	0	70	0	0	0	0	82.24	-13.32	48.89
269	0	40	0	80	70	0	0	25.72	19.65	19.34
270	0	70	0	80	40	0	0	23.7	21.16	9.65
271	0	0	0	0	40	40	40	46.09	10.6	2.76
272	0	100	70	40	70	0	0	34.69	50.7	38.79
273	0	100	70	0	40	0	0	47.31	70.89	45.98
274	70	70	0	40	0	0	100	13.13	22.27	-29.65
275	0	0	100	80	100	0	0	28.55	19.42	33.53
276	40	40	0	0	0	40	0	52.99	-9.73	-21.54
277	30	10	30	0	0	0	0	76.61	-7.77	3.7
278	40	0	0	40	0	0	100	15.94	28.66	-41.48
279	40	0	40	0	40	0	0	63.08	8.13	26.21
280	0	100	40	40	70	0	0	34.59	50.93	35.32
281	70	0	100	40	0	0	0	43.72	-32.23	31.03
282	0	0	100	0	0	40	0	76.04	-27.46	75.95
283	70	100	0	40	0	0	0	22.75	27.22	-27.19
284	0	100	0	40	40	0	0	34.66	52.35	15.2
285	0	100	100	40	70	0	0	34.77	50.58	40.94
286	0	0	40	40	0	70	0	49.94	-37.21	17.11
287	0	0	100	80	0	100	0	24.48	-27.68	19.73
288	0	100	0	80	0	0	100	11.74	15.13	-5.67
289	100	70	0	40	0	0	100	12.61	20.26	-31.58
290	70	0	70	40	0	70	0	37.24	-46.5	12.83
291	0	0	100	80	40	0	0	31	8.74	31.2
292	100	40	100	40	0	0	0	28.94	-29.96	8.97
293	100	100	0	100	0	0	0	11.43	5.75	0
294	70	0	0	0	0	0	70	32.7	14.89	-52.45
295	40	70	40	80	0	0	0	20.4	9.52	0.93
296	85	100	85	0	0	0	0	25.41	11.86	-3.16
297	70	0	0	0	0	0	0	66.57	-24.03	-39.84
298	70	0	0	0	0	0	0	66.57	-24.03	-39.84
299	0	20	0	0	40	0	70	35.92	35.17	-7.68
300	0	40	0	80	100	0	40	18.91	17.79	15.16
301	0	40	20	0	100	0	0	56.55	63.58	75.97
302	0	0	20	40	100	0	0	47.99	41.59	63.4
303	100	0	0	40	100	0	0	21.41	-0.14	11.86
304	0	20	0	20	0	0	0	74.25	12.01	-7.43
305	20	0	40	0	0	40	0	72.28	-33.39	17.9
306	40	0	0	40	100	0	0	36.87	27.88	41.66
307	100	0	0	0	0	70	40	34.81	-26.82	-35.53
308	40	0	0	40	40	0	40	33.32	11.96	-6.5
309	0	0	20	0	0	100	0	59.58	-75.43	10.61
310	0	100	0	20	70	0	0	40.65	61.84	36.44
311	0	0	70	40	40	70	0	40.25	-12.68	33.83
312	0	20	40	40	0	0	0	60.49	6.72	17.16
313	100	100	0	20	0	0	0	22.32	17.88	-41
314	0	0	20	40	70	0	0	51.66	33.19	43.74
315	20	20	0	40	0	0	0	57.76	4.18	-12.3
316	0	0	100	80	70	70	0	21.21	-0.44	19.08
317	0	0	0	80	70	100	0	16.66	-7.61	8.68
318	40	0	0	80	0	40	70	15.11	4.48	-11.75
319	0	0	70	0	100	70	0	43.38	19.52	55.68
320	0	100	40	0	0	40	0	36.61	50.38	5.6
