ISO28178
FILE_DESCRIPTOR	"FOGRA56"
ORIGINATOR	"Fogra, www.fogra.org, developed by GMG GmbH & Co. KG, Heidelberger Druckmaschinen AG"
CREATED	"January 2019"
TARGET_TYPE	"ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-2:2013, OFCOM. print substrate 1 = premium coated, fluorescence moderate (8-14 DeltaB according to ISO 15397), 115 g/m2. tone value increase curves A (CMYK), laminated with matte OPP film"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"
NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
1	0	0	0	0	94.11	1.57	-5.72
2	0	10	0	0	87.4	10.76	-7.59
3	0	20	0	0	81.22	19.35	-8.51
4	0	30	0	0	75.32	27.81	-8.93
5	0	40	0	0	70.58	35.27	-8.87
6	0	55	0	0	63.78	46.63	-8.39
7	0	70	0	0	57.56	57.78	-7.58
8	0	85	0	0	53.15	66.21	-6.07
9	0	100	0	0	49.78	72.62	-3.89
10	10	0	0	0	88.8	-3.41	-12.59
11	10	10	0	0	82.69	5.11	-13.82
12	10	20	0	0	77.04	13.41	-14.31
13	10	30	0	0	71.38	21.54	-14.7
14	10	40	0	0	67.09	28.6	-14.19
15	10	55	0	0	60.52	39.79	-14.03
16	10	70	0	0	54.55	50.72	-12.79
17	10	85	0	0	50.06	59.52	-11.61
18	10	100	0	0	46.64	66.43	-9.71
19	20	0	0	0	83.89	-7.91	-18.46
20	20	10	0	0	78.19	0.51	-19.47
21	20	20	0	0	72.89	8.37	-19.81
22	20	30	0	0	67.73	16.04	-19.59
23	20	40	0	0	63.58	22.97	-19.34
24	20	55	0	0	57.32	33.74	-18.83
25	20	70	0	0	51.47	44.72	-17.85
26	20	85	0	0	47.21	53.3	-16.42
27	20	100	0	0	43.92	60.29	-14.57
28	30	0	0	0	78.8	-11.96	-24.55
29	30	10	0	0	73.78	-4.4	-24.91
30	30	20	0	0	68.88	3.19	-24.88
31	30	30	0	0	64.05	10.65	-24.84
32	30	40	0	0	59.98	17.14	-24.37
33	30	55	0	0	54.13	27.72	-23.68
34	30	70	0	0	48.6	38.29	-22.49
35	30	85	0	0	44.32	47.14	-21.37
36	30	100	0	0	41.14	54.25	-19.81
37	40	0	0	0	75.1	-15.8	-28.82
38	40	10	0	0	70.2	-8.21	-29.3
39	40	20	0	0	65.64	-1.1	-29.25
40	40	30	0	0	61.09	6.13	-28.82
41	40	40	0	0	57.23	12.52	-28.21
42	40	55	0	0	51.72	22.74	-27.76
43	40	70	0	0	46.33	32.9	-26.5
44	40	85	0	0	41.92	41.66	-25.19
45	40	100	0	0	38.77	48.9	-23.85
46	55	0	0	0	69.11	-21.01	-36.02
47	55	10	0	0	64.9	-14.11	-35.86
48	55	20	0	0	60.82	-7.62	-35.28
49	55	30	0	0	56.57	-0.95	-34.97
50	55	40	0	0	53.17	5.1	-34.4
51	55	55	0	0	47.85	14.99	-33.97
52	55	70	0	0	42.71	24.68	-32.39
53	55	85	0	0	38.52	33.29	-31.12
54	55	100	0	0	35.57	40.36	-29.77
55	70	0	0	0	63.8	-26.18	-42.37
56	70	10	0	0	60.05	-19.93	-42
57	70	20	0	0	56.33	-13.62	-41.49
