ISO28178
FILE_DESCRIPTOR	"FOGRA57"
ORIGINATOR	"Fogra, www.fogra.org, developed by GMG GmbH & Co KG, Heidelberger Druckmaschinen AG"
CREATED	"January 2019"
TARGET_TYPE	"ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-2:2013, OFCOM. print substrate 1 = premium coated, fluorescence moderate (8-14 DeltaB according to ISO 15397), 115 g/m2. tone value increase curves A (CMYK), laminated with glossy OPP film"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"
NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
1	0	0	0	0	93.99	1.52	-5.66
2	0	10	0	0	87.11	10.9	-7.59
3	0	20	0	0	80.74	19.73	-8.57
4	0	30	0	0	74.63	28.5	-9.04
5	0	40	0	0	69.68	36.29	-9.02
6	0	55	0	0	62.52	48.34	-8.59
7	0	70	0	0	55.87	60.38	-7.78
8	0	85	0	0	51.09	69.69	-6.23
9	0	100	0	0	47.38	76.95	-3.91
10	10	0	0	0	88.55	-3.56	-12.68
11	10	10	0	0	82.26	5.15	-13.97
12	10	20	0	0	76.41	13.69	-14.53
13	10	30	0	0	70.53	22.14	-14.99
14	10	40	0	0	66.03	29.56	-14.54
15	10	55	0	0	59.06	41.46	-14.48
16	10	70	0	0	52.64	53.35	-13.32
17	10	85	0	0	47.74	63.13	-12.16
18	10	100	0	0	43.94	71.01	-10.21
19	20	0	0	0	83.49	-8.18	-18.71
20	20	10	0	0	77.6	0.44	-19.79
21	20	20	0	0	72.11	8.54	-20.21
22	20	30	0	0	66.72	16.53	-20.08
23	20	40	0	0	62.35	23.83	-19.92
24	20	55	0	0	55.67	35.35	-19.55
25	20	70	0	0	49.33	47.38	-18.73
26	20	85	0	0	44.61	57.05	-17.4
27	20	100	0	0	40.9	65.16	-15.58
28	30	0	0	0	78.24	-12.38	-24.98
29	30	10	0	0	73.03	-4.63	-25.43
30	30	20	0	0	67.93	3.2	-25.49
31	30	30	0	0	62.86	11	-25.56
32	30	40	0	0	58.56	17.86	-25.2
33	30	55	0	0	52.26	29.25	-24.71
34	30	70	0	0	46.21	40.94	-23.75
35	30	85	0	0	41.43	51	-22.81
36	30	100	0	0	37.73	59.38	-21.39
37	40	0	0	0	74.38	-16.39	-29.42
38	40	10	0	0	69.29	-8.61	-29.99
39	40	20	0	0	64.52	-1.25	-30.05
40	40	30	0	0	59.73	6.31	-29.75
41	40	40	0	0	55.62	13.09	-29.28
42	40	55	0	0	49.64	24.15	-29.08
43	40	70	0	0	43.69	35.49	-28.13
44	40	85	0	0	38.72	45.6	-27.1
45	40	100	0	0	35.02	54.28	-26.02
46	55	0	0	0	68.13	-21.96	-36.91
47	55	10	0	0	63.73	-14.87	-36.87
48	55	20	0	0	59.42	-8.13	-36.42
49	55	30	0	0	54.91	-1.12	-36.29
50	55	40	0	0	51.24	5.34	-35.9
51	55	55	0	0	45.41	16.11	-35.8
52	55	70	0	0	39.64	27.1	-34.66
53	55	85	0	0	34.78	37.28	-33.84
54	55	100	0	0	31.19	46.06	-32.93
55	70	0	0	0	62.53	-27.64	-43.6
56	70	10	0	0	58.57	-21.2	-43.37
57	70	20	0	0	54.61	-14.65	-43.02
