ISO28178
FILE_DESCRIPTOR	"FOGRA58"
ORIGINATOR	"Tschudi Software Technology GmbH (www.tschudist.com) in concord with FOGRA (www.fogra.org)"
CREATED	"Mach 2020"
TARGET_TYPE	"TC9.18"
INSTRUMENTATION	"Geometry 45:0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Textile Exchange Colour Space - for Fogra research project 13.006"
WEIGHTING_FUNCTION	"ILLUMINANT, D65"
WEIGHTING_FUNCTION	"OBSERVER, 10 degree"
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	918
BEGIN_DATA
1	0	0	0	15	0	0
2	0	32	0	18.62	-6.84	4.49
3	0	64	0	22.42	-14	9.08
4	0	96	0	26.49	-21.63	13.8
5	0	128	0	31	-30	18.75
6	0	160	0	36.29	-39.72	24.1
7	0	192	0	42.02	-50.18	29.67
8	0	224	0	48.01	-61.11	35.38
9	0	255	0	54	-72	41
10	0	0	32	16.07	3.17	-4.44
11	0	32	32	18.37	-6.04	-6.04
12	0	64	32	22.34	-13.31	-1.57
13	0	96	32	26.62	-21.07	2.99
14	0	128	32	31.25	-29.49	7.69
15	0	160	32	36.34	-38.78	12.56
16	0	192	32	41.86	-48.93	17.66
17	0	224	32	47.7	-59.69	22.94
18	0	255	32	53.57	-70.49	28.23
19	0	0	64	17.17	6.5	-9.09
20	0	32	64	19.63	-2.78	-10.86
21	0	64	64	21.92	-12.07	-12.07
22	0	96	64	26.37	-19.88	-7.63
23	0	128	64	31.18	-28.31	-3.13
24	0	160	64	36.31	-37.48	1.44
25	0	192	64	41.73	-47.41	6.08
26	0	224	64	47.42	-58.02	10.86
27	0	255	64	53.17	-68.74	15.72
28	32	0	0	18.21	9.45	9.45
29	32	32	0	23.57	0	13.85
30	32	64	0	27.54	-7.19	18.49
31	32	96	0	31.83	-14.85	23.31
32	32	128	0	36.5	-23.13	28.38
33	32	160	0	41.68	-32.24	33.79
34	32	192	0	47.33	-42.18	39.51
35	32	224	0	53.32	-52.74	45.43
36	32	255	0	59.31	-63.37	51.24
37	32	0	32	17.42	9.54	0
38	32	32	32	24.91	0	0
39	32	64	32	28.88	-7.25	4.66
40	32	96	32	33.17	-14.98	9.48
41	32	128	32	37.88	-23.36	14.51
42	32	160	32	43.14	-32.59	19.81
43	32	192	32	48.91	-42.67	25.38
44	32	224	32	55.03	-53.35	31.12
45	32	255	32	61.14	-64.09	36.78
46	32	0	64	18.68	13.05	-4.69
47	32	32	64	26.1	3.42	-4.99
48	32	64	64	28.66	-6.18	-6.01
49	32	96	64	33.07	-13.95	-1.32
