ISO28178
FILE_DESCRIPTOR	"FOGRA59"
ORIGINATOR	"Fogra. www.fogra.org"
CREATED	"March 2020"
TARGET_TYPE	"ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Large gamut Colour Exchange Space, V2"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"

# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"

NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
1	0	0	0	0	96.524	1.0169	-3.034
2	0	10	0	0	92.836	8.8888	-5.848
3	0	20	0	0	88.927	17.054	-8.2995
4	0	30	0	0	84.864	25.236	-10.279
5	0	40	0	0	80.577	33.11	-11.425
6	0	55	0	0	73.826	44.358	-12.201
7	0	70	0	0	66.483	56.709	-12.532
8	0	85	0	0	58.9	69.278	-10.948
9	0	100	0	0	51.99	80.324	-7.434
10	10	0	0	0	92.999	-3.1642	-8.7275
11	10	10	0	0	88.953	4.7157	-11.294
12	10	20	0	0	84.892	12.732	-13.443
13	10	30	0	0	80.797	20.967	-15.295
14	10	40	0	0	76.576	28.766	-16.416
15	10	55	0	0	69.921	39.849	-17.206
16	10	70	0	0	62.699	52.099	-17.563
17	10	85	0	0	55.606	64.089	-17.146
18	10	100	0	0	48.827	75.341	-16.131
19	20	0	0	0	89.445	-7.2737	-14.163
20	20	10	0	0	85.253	0.4952	-16.542
21	20	20	0	0	81.057	8.51	-18.526
22	20	30	0	0	76.862	16.676	-20.199
23	20	40	0	0	72.671	24.43	-21.259
24	20	55	0	0	66.253	35.462	-21.987
25	20	70	0	0	59.141	47.634	-22.524
26	20	85	0	0	52.356	59.286	-22.671
27	20	100	0	0	45.785	70.472	-22.612
28	30	0	0	0	85.857	-11.361	-19.311
29	30	10	0	0	81.684	-3.7998	-21.449
30	30	20	0	0	77.377	4.1194	-23.299
31	30	30	0	0	73.059	12.265	-24.869
32	30	40	0	0	68.903	20.012	-25.911
33	30	55	0	0	62.659	30.977	-26.69
34	30	70	0	0	55.756	43.079	-27.347
35	30	85	0	0	49.233	54.594	-27.712
36	30	100	0	0	42.89	65.669	-27.847
37	40	0	0	0	82.201	-15.547	-24.368
38	40	10	0	0	78.001	-8.2169	-26.287
39	40	20	0	0	73.7	-0.4148	-28
40	40	30	0	0	69.341	7.6476	-29.45
41	40	40	0	0	65.189	15.379	-30.473
42	40	55	0	0	59.12	26.429	-31.279
43	40	70	0	0	52.442	38.458	-31.984
44	40	85	0	0	46.152	49.884	-32.501
45	40	100	0	0	40.027	60.85	-32.838
46	55	0	0	0	76.096	-21.843	-31.779
47	55	10	0	0	72.128	-14.749	-33.217
48	55	20	0	0	67.955	-7.3394	-34.76
49	55	30	0	0	63.876	0.2718	-35.8
50	55	40	0	0	59.776	7.9999	-36.648
51	55	55	0	0	53.837	19.32	-37.573
52	55	70	0	0	47.641	31.288	-38.353
53	55	85	0	0	41.821	42.666	-38.959
54	55	100	0	0	36.106	53.629	-39.372
55	70	0	0	0	69.49	-28.401	-39.333
56	70	10	0	0	65.737	-21.649	-40.527
57	70	20	0	0	61.85	-14.464	-41.538
58	70	30	0	0	58.009	-7.0359	-42.305
59	70	40	0	0	54.151	0.5621	-42.948
60	70	55	0	0	48.501	11.824	-43.743
61	70	70	0	0	42.655	23.792	-44.486
