ISO28178
FILE_DESCRIPTOR	"FOGRA60"
ORIGINATOR	"Fogra, www.fogra.org, developed by GMG GmbH & Co. KG"
CREATED	"February 2021"
TARGET_TYPE	"ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-9:2021, White coated metal 1, fluorescence No, tone value increase curves A (CMYK)"

# The following flag is intended to improve compatibility with legacy devices.
KEYWORD "TRACEABILITY"
TRACEABILITY	"NIST"

NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
1	0	100	20	0	41.623	61.696	6.965
2	0	85	20	0	45.508	54.112	5.442
3	0	70	20	0	51.407	43.609	5.642
4	0	55	20	0	57.653	32.930	6.040
5	0	40	20	0	63.531	23.179	7.253
6	0	30	20	0	67.776	16.619	8.294
7	0	20	20	0	72.477	9.819	9.566
8	0	10	20	0	77.288	3.070	10.843
9	0	0	20	0	82.553	-4.105	13.003
10	0	100	10	0	42.045	62.538	1.119
11	0	85	10	0	46.047	54.872	-0.782
12	0	70	10	0	51.857	44.257	-1.131
13	0	55	10	0	57.906	33.861	-1.044
14	0	40	10	0	63.971	23.931	-0.276
15	0	30	10	0	68.474	17.181	0.282
16	0	20	10	0	73.325	10.476	1.083
17	0	10	10	0	77.987	3.902	2.115
18	0	0	10	0	83.286	-3.320	3.899
19	0	100	0	0	42.000	64.000	-5.000
20	0	85	0	0	46.091	56.247	-7.223
21	0	70	0	0	52.205	45.314	-8.305
22	0	55	0	0	58.596	34.540	-8.975
23	0	40	0	0	64.896	24.249	-8.643
24	0	30	0	0	69.239	17.897	-8.282
25	0	20	0	0	73.835	11.764	-7.746
26	0	10	0	0	78.700	5.153	-7.119
27	0	0	0	0	84.000	-2.002	-6.000
28	0	100	0	20	35.479	55.407	-5.222
29	0	70	0	20	43.845	39.938	-7.609
30	0	40	0	20	54.504	22.157	-7.958
31	0	20	0	20	62.290	10.649	-6.966
32	0	10	0	20	66.561	4.637	-6.430
33	0	0	0	20	71.210	-1.662	-5.241
34	10	100	20	0	38.808	56.941	2.345
35	10	85	20	0	42.631	49.812	0.940
36	10	70	20	0	48.216	39.319	0.903
37	10	55	20	0	54.231	28.642	1.303
38	10	40	20	0	59.938	18.898	2.355
39	10	30	20	0	64.129	12.368	3.235
40	10	20	20	0	68.688	5.762	4.310
41	10	10	20	0	73.261	-0.829	5.318
42	10	0	20	0	78.253	-8.007	7.053
43	10	100	10	0	39.103	57.891	-3.537
44	10	85	10	0	42.942	50.642	-5.197
45	10	70	10	0	48.554	40.255	-5.709
46	10	55	10	0	54.743	29.453	-5.819
47	10	40	10	0	60.599	19.635	-5.190
48	10	30	10	0	64.781	13.196	-4.618
49	10	20	10	0	69.305	6.632	-3.838
50	10	10	10	0	73.929	0.116	-3.200
51	10	0	10	0	79.012	-6.955	-1.764
52	10	100	0	0	38.861	59.333	-9.517
53	10	85	0	0	43.273	51.668	-11.974
54	10	70	0	0	49.168	40.867	-12.916
55	10	55	0	0	55.289	30.399	-13.544
56	10	40	0	0	61.109	20.737	-13.447
57	10	30	0	0	65.312	14.386	-13.118
58	10	20	0	0	69.947	7.961	-12.593
59	10	10	0	0	74.539	1.601	-12.448
60	10	0	0	0	79.776	-5.572	-11.385
61	10	100	0	20	33.088	51.289	-9.053
62	10	70	0	20	41.109	36.408	-11.878
63	10	40	0	20	51.425	18.615	-12.083
64	10	20	0	20	59.090	7.267	-11.449
65	10	10	0	20	63.226	1.373	-10.895
66	10	0	0	20	67.318	-4.842	-9.932
